,Unnamed: 0,host,http.request.duration,http.request.method,http.request.remoteaddr,http.request.uri,http.request.useragent,http.response.status,http.response.written,id,timestamp
25905,25905,dc118836,0.924146823,GET,4053d99b,v2/8d4710eb/a7840ae4/blobs/898cf566,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,14723.0,0743a59d5a,2017-06-20 00:06:46.442
1104,1104,79634854,0.98522105,GET,4053d99b,v2/8d4710eb/a7840ae4/blobs/f8330cc9,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,213.0,3933adb1f5,2017-06-20 00:06:47.286
25904,25904,ae280635,26.769778404,GET,4fdf6ce6,v2/8d4710eb/a7840ae4/blobs/0e641198,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,62507655.0,9612c677df,2017-06-20 00:06:48.667
48267,48267,dc118836,0.969583521,GET,b40b861c,v2/4715bf52/004ef45a/blobs/f902a4f4,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,1900.0,fa00ae700c,2017-06-20 00:06:50.647
5238,5238,906357ea,1.249431385,GET,b40b861c,v2/4715bf52/004ef45a/blobs/bf71dd8d,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,6790.0,48dff142a8,2017-06-20 00:06:50.930
1096,1096,79634854,6.275523412999999,GET,e8f9f5ba,v2/87aff85e/7b57dab8/blobs/d4bfeb79,docker/1.12.0 go/go1.6.3 git-commit/535b3ac-unsupported kernel/4.4.0-45-generic os/linux arch/amd64 UpstreamClient(docker-py/1.10.6),200,11032695.0,aab62ef69b,2017-06-20 00:06:51.076
48584,48584,260f35e1,10.718116171,GET,4fdf6ce6,v2/8d4710eb/a7840ae4/blobs/17c56cc4,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,23377713.0,386fb45180,2017-06-20 00:06:51.084
41257,41257,260f35e1,0.92187583,GET,2d9f2a13,v2/4715bf52/cd7b6ba0/blobs/ce68ae30,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,6782.0,f6ca7eeaa5,2017-06-20 00:06:51.626
15267,15267,786b3803,0.938965694,GET,2d9f2a13,v2/4715bf52/cd7b6ba0/blobs/7b1ce659,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,2061.0,69506aa339,2017-06-20 00:06:51.645
1094,1094,79634854,0.895023819,GET,e8f9f5ba,v2/87aff85e/7b57dab8/blobs/e6f736e6,docker/1.12.0 go/go1.6.3 git-commit/535b3ac-unsupported kernel/4.4.0-45-generic os/linux arch/amd64 UpstreamClient(docker-py/1.10.6),200,5633.0,9933cd7d86,2017-06-20 00:06:51.834
41265,41265,786b3803,0.687181048,GET,082d9c65,v2/dbe7d36c/a48bbe32/blobs/d296e1b8,docker/1.12.0 go/go1.6.3 git-commit/535b3ac-unsupported kernel/4.4.0-45-generic os/linux arch/amd64 UpstreamClient(docker-py/1.10.6),200,44759.0,166aa08557,2017-06-20 00:06:52.049
48585,48585,79634854,2.377964392,GET,b40b861c,v2/4715bf52/004ef45a/blobs/7813bfcf,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,1967949.0,42d218d202,2017-06-20 00:06:52.053
27338,27338,906357ea,0.84480639,GET,082d9c65,v2/dbe7d36c/a48bbe32/blobs/7422b6ce,docker/1.12.0 go/go1.6.3 git-commit/535b3ac-unsupported kernel/4.4.0-45-generic os/linux arch/amd64 UpstreamClient(docker-py/1.10.6),200,575.0,eae3a9f160,2017-06-20 00:06:52.228
41263,41263,dc118836,0.9105005129999992,GET,082d9c65,v2/dbe7d36c/a48bbe32/blobs/91dfcc86,docker/1.12.0 go/go1.6.3 git-commit/535b3ac-unsupported kernel/4.4.0-45-generic os/linux arch/amd64 UpstreamClient(docker-py/1.10.6),200,277.0,1d966514ea,2017-06-20 00:06:52.294
48598,48598,ae280635,1.946627855,GET,2d9f2a13,v2/4715bf52/cd7b6ba0/blobs/0a64f96e,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,1927800.0,a026988f0a,2017-06-20 00:06:52.653
25936,25936,ae280635,0.976236896,GET,082d9c65,v2/dbe7d36c/a48bbe32/blobs/154ce8aa,docker/1.12.0 go/go1.6.3 git-commit/535b3ac-unsupported kernel/4.4.0-45-generic os/linux arch/amd64 UpstreamClient(docker-py/1.10.6),200,172690.0,6ccd46a9a1,2017-06-20 00:06:53.214
15801,15801,906357ea,2.147582901,GET,082d9c65,v2/dbe7d36c/a48bbe32/blobs/a7a30752,docker/1.12.0 go/go1.6.3 git-commit/535b3ac-unsupported kernel/4.4.0-45-generic os/linux arch/amd64 UpstreamClient(docker-py/1.10.6),200,2286685.0,70b442ab90,2017-06-20 00:06:53.533
41264,41264,79634854,3.632046283,GET,4053d99b,v2/8d4710eb/a7840ae4/blobs/a71fb618,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,6079402.0,dd07497d7d,2017-06-20 00:06:54.611
1095,1095,260f35e1,0.834280685999999,GET,4fdf6ce6,v2/8d4710eb/a7840ae4/blobs/9b155dba,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,17623.0,9336b0998c,2017-06-20 00:06:55.454
1089,1089,dc118836,0.8970513750000001,GET,4053d99b,v2/8d4710eb/a7840ae4/blobs/8ea65cfe,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,37728.0,d964e92ade,2017-06-20 00:06:56.376
1092,1092,79634854,4.747600745,GET,e8f9f5ba,v2/87aff85e/7b57dab8/blobs/706d5fb8,docker/1.12.0 go/go1.6.3 git-commit/535b3ac-unsupported kernel/4.4.0-45-generic os/linux arch/amd64 UpstreamClient(docker-py/1.10.6),200,8601484.0,2c2c4cdb72,2017-06-20 00:06:56.621
37415,37415,79634854,0.8949382480000001,GET,4053d99b,v2/8d4710eb/a7840ae4/blobs/4f3170e2,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,26409.0,42a5f5563a,2017-06-20 00:06:57.087
1090,1090,dc118836,0.876281124,GET,e8f9f5ba,v2/87aff85e/7b57dab8/blobs/02a8a747,docker/1.12.0 go/go1.6.3 git-commit/535b3ac-unsupported kernel/4.4.0-45-generic os/linux arch/amd64 UpstreamClient(docker-py/1.10.6),200,300.0,af28741804,2017-06-20 00:06:57.356
51230,51230,906357ea,0.8292050080000001,GET,4053d99b,v2/8d4710eb/a7840ae4/blobs/3cd7924f,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,84635.0,bdf059d843,2017-06-20 00:06:57.712
15144,15144,dc118836,0.975171379,GET,4053d99b,v2/8d4710eb/a7840ae4/blobs/ed20ef1d,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,78727.0,9d9b7362db,2017-06-20 00:06:58.705
48582,48582,79634854,11.74850134,GET,4053d99b,v2/8d4710eb/a7840ae4/blobs/38b62ef3,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,22560368.0,4ab7a8e300,2017-06-20 00:06:59.052
25937,25937,ae280635,0.8492347960000001,GET,4fdf6ce6,v2/8d4710eb/a7840ae4/blobs/7b6398a3,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,12336.0,05e46c151a,2017-06-20 00:06:59.420
27226,27226,906357ea,0.860553259,GET,4053d99b,v2/8d4710eb/a7840ae4/blobs/fe9a4a40,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,15386.0,91b7be3d37,2017-06-20 00:06:59.755
1088,1088,dc118836,0.933137161,GET,4053d99b,v2/8d4710eb/a7840ae4/blobs/e4fb94c3,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,33548.0,7055ef9bba,2017-06-20 00:07:00.227
51229,51229,906357ea,0.9307225109999999,GET,4053d99b,v2/8d4710eb/a7840ae4/blobs/567fdcf2,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,33140.0,efec5186ac,2017-06-20 00:07:00.516
48581,48581,dc118836,0.8642631829999999,GET,4053d99b,v2/8d4710eb/a7840ae4/blobs/0b4158c4,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,975.0,89f8c0f13d,2017-06-20 00:07:01.108
37416,37416,786b3803,0.821472839,GET,4fdf6ce6,v2/8d4710eb/a7840ae4/blobs/49870692,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,1467.0,9dfd606443,2017-06-20 00:07:01.438
15145,15145,260f35e1,0.8371028559999999,GET,4fdf6ce6,v2/8d4710eb/a7840ae4/blobs/6b07ec1b,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,979.0,d6ef0b7970,2017-06-20 00:07:01.953
37414,37414,dc118836,17.431616103,GET,e8f9f5ba,v2/87aff85e/7b57dab8/blobs/287a1b2b,docker/1.12.0 go/go1.6.3 git-commit/535b3ac-unsupported kernel/4.4.0-45-generic os/linux arch/amd64 UpstreamClient(docker-py/1.10.6),200,35308548.0,9b1d8e5706,2017-06-20 00:07:02.233
1091,1091,dc118836,17.510202495,GET,e8f9f5ba,v2/87aff85e/7b57dab8/blobs/0cff21eb,docker/1.12.0 go/go1.6.3 git-commit/535b3ac-unsupported kernel/4.4.0-45-generic os/linux arch/amd64 UpstreamClient(docker-py/1.10.6),200,35308548.0,39cfcf1a46,2017-06-20 00:07:02.311
47763,47763,79634854,1.598005979,GET,4053d99b,v2/8d4710eb/a7840ae4/blobs/9384bd73,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,1470.0,9feec0989d,2017-06-20 00:07:03.056
